contig_name	size_bp	bin	qseqid	staxids	bitscore	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	coverage	priority
contig_6872	85475	SexualChromosomes_df	contig_6872	0	31493.0	JAOTOJ010000009.1	78.647	48241	9734	489	1814	49720	4309670	4261663	0.0	0.5604679730915473	2
contig_7023	52228	SexualChromosomes_df	contig_7023	0	22744.0	JAOTOJ010000009.1	80.818	29809	5041	449	6231	35530	4259931	4289571	0.0	0.5609826146894387	2
contig_7548	35929	SexualChromosomes_df	contig_7548	0	22572.0	JAOTOJ010000009.1	78.141	36146	7462	367	4	35927	4301361	4265433	0.0	0.9998330039800718	2
contig_8232	26860	SexualChromosomes_df	contig_8232	0	18161.0	CM077935.1	86.594	16806	1828	199	10363	26860	29626331	29609643	0.0	0.6141846612062547	2
contig_17987	36356	SexualChromosomes_df	contig_17987	0	16560.0	JAOTOJ010000009.1	81.016	21170	3728	225	1	21059	4082549	4061560	0.0	0.5792166354934536	2
contig_10262	34877	SexualChromosomes_df	contig_10262	0	16321.0	JAOTOJ010000009.1	81.516	20077	3499	182	21	20007	4286328	4266374	0.0	0.5730424061702555	2
contig_15070	19935	SexualChromosomes_df	contig_15070	0	16124.0	JAOTOJ010000009.1	81.37	20043	3514	171	5	19933	4292715	4272779	0.0	0.999648858791071	2
contig_8783	31867	SexualChromosomes_df	contig_8783	0	13642.0	JAOTOJ010000009.1	78.161	21819	4492	210	10195	31818	4266762	4288502	0.0	0.6785389274170772	2
contig_8788	13110	SexualChromosomes_df	contig_8788	0	12992.0	JAOTOJ010000009.1	96.585	7848	250	8	1	7845	38514373	38506541	0.0	0.5983218916857361	2
contig_7761	14332	SexualChromosomes_df	contig_7761	0	12652.0	JAOTOJ010000009.1	95.877	7883	212	56	6509	14332	8174398	8182226	0.0	0.5458414736254535	2
contig_6080	11262	SexualChromosomes_df	contig_6080	0	11457.0	CM077935.1	95.433	7248	230	43	116	7319	1847117	1854307	0.0	0.6395844432605221	2
